DATA CONTABILE,DATA VALUTA,USCITE,ENTRATE,CAUSALE,DESCRIZIONE OPERAZIONE
01/10/2025,,,"-35,88",,Saldo iniziale
01/10/2025,01/10/2025,,"+300,00",Accredito Bonifico,Bonifico istantaneo N. 202510010646472661412 BIC Ordinante BBVAITMM Codifica Ordinante IT64N0357601601010003904105 Anagrafica Ordinante GIACOMO ZANOTTI Note: Spese mese
01/10/2025,01/10/2025,"-20,00",,Bonifico In Uscita,BONIFICO DA VOI DISPOSTO CRO 16953943601 A FAVORE DI Giacomo Zanotti C. BENEF. IT64N0357601601010003904105 NOTE: Barbiere
01/10/2025,01/10/2025,"-3,40",,Bonifico In Uscita,BONIFICO DA VOI DISPOSTO CRO 16953946504 A FAVORE DI Giacomo Zanotti C. BENEF. IT64N0357601601010003904105 NOTE: Colazione
01/10/2025,29/09/2025,"-23,35",,Pagamento Carta,Operazione Mastercard del 29/09/2025 alle ore 08:35 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=23.35 / Importo in Euro=23.35 presso Retitalia Brescia - Transazione C-less
01/10/2025,29/09/2025,"-6,21",,Pagamento Carta,Operazione Mastercard del 29/09/2025 alle ore 14:44 con Carta xxxxxxxxxxxx3352 Div=EUR Importo in divisa=6.21 / Importo in Euro=6.21 presso ITALMARK - Transazione C-less
01/10/2025,29/09/2025,"-10,80",,Pagamento Carta,Operazione Mastercard del 29/09/2025 alle ore 14:55 con Carta xxxxxxxxxxxx3352 Div=EUR Importo in divisa=10.8 / Importo in Euro=10.8 presso BILU & BILEI STORE - Transazione C-less
01/10/2025,01/10/2025,"-2,20",,Addebito Diretto,Addebito SDD CORE Scad. 01/10/2025 Imp. 2.2 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045176870074/PAYPAL
01/10/2025,01/10/2025,"-2,20",,Addebito Diretto,Addebito SDD CORE Scad. 01/10/2025 Imp. 2.2 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045176763531/PAYPAL
02/10/2025,02/10/2025,,"+3.297,10",Accredito Bonifico,Bonifico N. 0061370183213921 BIC Ordinante BBVAITMMXXX Data Ordine  Codifica Ordinante IT64N0357601601010003904105 Anagrafica Ordinante GIACOMO ZANOTTI Note: SPESE DEL MESE
03/10/2025,01/10/2025,"-9,00",,Pagamento Carta,Operazione Mastercard del 01/10/2025 alle ore 12:41 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=9 / Importo in Euro=9 presso 125 - Transazione C-less
04/10/2025,01/10/2025,"-104,62",,Pagamento Carta,Operazione Mastercard del 01/10/2025 alle ore 08:19 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=104.62 / Importo in Euro=104.62 presso WWW.A2ACICLOIDRICO.EU
04/10/2025,02/10/2025,"-55,06",,Pagamento Carta,Operazione Mastercard del 02/10/2025 alle ore 08:30 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=55.06 / Importo in Euro=55.06 presso METELLI FRUTTA SAS - Transazione C-less
04/10/2025,02/10/2025,"-2,90",,Pagamento Carta,Operazione Mastercard del 02/10/2025 alle ore 08:34 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=2.9 / Importo in Euro=2.9 presso SALE E PEPE 2 - Transazione C-less
04/10/2025,02/10/2025,"-12,90",,Pagamento Carta,Operazione Mastercard del 02/10/2025 alle ore 08:42 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=12.9 / Importo in Euro=12.9 presso G.FOGAZZI NEGOZIO DI A - Transazione C-less
06/10/2025,06/10/2025,"-765,00",,Bonifico In Uscita,BONIFICO DA VOI DISPOSTO CRO 16836793407 A FAVORE DI Aida Pedretti C. BENEF. IT22O0503411200000000019733 NOTE: Saldo affitto fornaci Zanotti musicco
06/10/2025,06/10/2025,"-225,00",,Bonifico In Uscita,BONIFICO DA VOI DISPOSTO CRO 16973409612 A FAVORE DI Giovanna Musicco C. BENEF. IT51U0338501601100000203544 NOTE: Brez
06/10/2025,06/10/2025,"-4,99",,Addebito Diretto,Addebito SDD CORE Scad. 06/10/2025 Imp. 4.99 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045242185822/PAYPAL
08/10/2025,06/10/2025,"-2,05",,Pagamento Carta,Operazione Mastercard del 06/10/2025 alle ore 08:39 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=2.05 / Importo in Euro=2.05 presso FARMACIA FORNACI SRL - Transazione C-less
08/10/2025,08/10/2025,"-88,00",,Pagamento I24,Dt.conf: 08/10/2025 Dt.pag: 08/10/2025 Cont.: ZNTGCM93T25Z130Z Nom.:   c.Atto:- AuthID:2025100700003500001
08/10/2025,08/10/2025,"-34,80",,Addebito Diretto,Addebito SDD CORE Scad. 08/10/2025 Imp. 34.8 Creditor id. IT390030000000488410010 TELECOM ITALIA SPA O TIM S P A Id Mandato 003007999345202408061 Debitore ZANOTTI GIACOMO Rif. 
08/10/2025,08/10/2025,"-2,20",,Addebito Diretto,Addebito SDD CORE Scad. 08/10/2025 Imp. 2.2 Creditor id. LU96ZZZ0000000000000000058 PayPal Europe S.a.r.l. et Cie S.C.A Id Mandato 54V22258E3N8U Debitore Giacomo Zanotti Rif. 1045351166009/PAYPAL
08/10/2025,08/10/2025,"-15,00",,Bonifico In Uscita,BONIFICO DA VOI DISPOSTO CRO 16993028707 A FAVORE DI Alessia castelli C. BENEF. IT08G0200811222000103486506 NOTE: Team Building viaggio
09/10/2025,09/10/2025,"-4,00",,Bonifico In Uscita,BONIFICO DA VOI DISPOSTO CRO 16994541301 A FAVORE DI Gemma musicco C. BENEF. IT03E0347501605CC0012553485 NOTE: Pannello
09/10/2025,07/10/2025,"-7,50",,Pagamento Carta,Operazione Mastercard del 07/10/2025 alle ore 12:56 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=7.5 / Importo in Euro=7.5 presso 125 - Transazione C-less
10/10/2025,07/10/2025,"-2,20",,Pagamento Carta,Pagamenti trasporti modalita' contactless. Operazione Mastercard del 07/10/2025 alle ore 18:06 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=2.2 / Importo in Euro=2.2 presso CLESS TICKET ATM MILAN - Transazione C-less
10/10/2025,10/10/2025,"-24,96",,Addebito Diretto,"Addebito SDD CORE Scad. 10/10/2025 Imp. 24.96 Creditor id. DE94ZZZ00000561653 AMAZON PAYMENTS EUROPE S.C.A. AMAZON PAYMENTS EUROPE SCA Id Mandato JXNUY,CTCX.FNTBEOWV)CWZ7UA2SEP Debitore GIACOMO ZANOTTI Rif. 402-1418927-4563530 AMZN Mktp IT 48352MC4X1W94D3E"
10/10/2025,10/10/2025,"-8,95",,Addebito Diretto,"Addebito SDD CORE Scad. 10/10/2025 Imp. 8.95 Creditor id. DE24ZZZ00000561652 AMAZON EU S.A R.L. AMAZON EU S.A R.L. Id Mandato JXNUY,CTCX.FNTBEOWV)CWZ7UA2SEP Debitore GIACOMO ZANOTTI Rif. 402-8728729-5756338 Amazon.it 4689PUWNZT48JC7D"
11/10/2025,09/10/2025,"-6,37",,Pagamento Carta,Operazione Mastercard del 09/10/2025 alle ore 07:59 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=6.37 / Importo in Euro=6.37 presso METELLI FRUTTA SAS - Transazione C-less
11/10/2025,09/10/2025,"-8,00",,Pagamento Carta,Operazione Mastercard del 09/10/2025 alle ore 08:11 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=8 / Importo in Euro=8 presso SAYED ABU ABU SAYED - Transazione C-less
11/10/2025,09/10/2025,"-2,68",,Pagamento Carta,Operazione Mastercard del 09/10/2025 alle ore 13:57 con Carta xxxxxxxxxxxx7329 Div=EUR Importo in divisa=2.68 / Importo in Euro=2.68 presso ITALMARK - Transazione C-less
